tanggal,periode,teks_bersih,sentimen,likes,retweet,username
2024-09-20 04:10:51,sebelum,segera temu sidang adil,positif,1,0,alisyarief
2024-09-20 04:10:51,sebelum,jadi senjata prabowo,negatif,2,0,Pa_RW06
2024-09-20 04:22:06,sebelum,rawan jagat prabowo bakal menang suswono pilkada jakarta,negatif,1,0,okezonenews
2024-09-20 04:24:16,sebelum,benar jadi masalah maksud data identitas gibran verifikasi sama gopay urus sama metode top transfer bahas mas ganteng metode topup transfer kode unik gopay silah cek bang ganteng,negatif,60,2,feelemptyz
2024-09-20 04:25:20,sebelum,prabowo tantang tega hukum ubah lanjut,negatif,5,5,alisyarief
2024-09-20 04:33:47,sebelum,presiden republik indonesia susilo bambang yudhoyono unjung diam presiden pilih prabowo subianto kertanegara jakarta selatan kamis sby tiba diam prabowo siang hari pukul wib mobil merk lexus warna hitam nomor plat tak lama selang sby nampak gegas masuk diam prabowo bincang empat mata prabowo makan siang nikmat kopi sama diskusi siang hari laku satu jam terima kasih presiden republik indonesia bapak susilo bambang yudhoyono atas diskusi siang hari kata prabowo unggah foto instagramnya foto sebut prabowo sby duduk satu meja buah meja makan atas makan kopi sby sempat sebut kena kemeja biru muda prabowo kena safari warna cokelat muda optimis sama sama wujud sejahtera seluruh rakyat indonesia lanjut prabowo usai temu prabowo antar sby kendara pribadi saling salam sempat hadir putra prabowo didit hediprasetyo turut antar sby didit prabowo damping wakil ketua umum partai gerindra sugiono sby beberapa sempat masuk ingat hut demokrat jakarta beberapa waktu lalu sebut diri kerap bincang bincang prabowo kerap bincang bincang presiden pilih beliau punya idealisme punya agenda jelas punya sasar tepat kata sby september lalu,positif,7,1,RadioElshinta
2024-09-20 04:33:55,sebelum,mantan dukung prabowo cuma ngeunfoll doang bukan bub keren kamu,negatif,3,0,_jessxs
2024-09-20 04:43:57,sebelum,kan kamu sendiri buat,negatif,5,1,DuduAku16
2024-09-20 04:47:48,sebelum,ente titip memang ente siapa jgn sok lagak orang bener kalau jadi oposisi jadi oposisi cerdas kritik konstruktif bukan asal beda perintah bukan asal bunyi suara kentut kamus rivalitas main nitip memang bapak loh,negatif,6,2,sukardiyahya162
2024-09-20 04:49:04,sebelum,menang suswono rawan jagat prabowo bakal buat jakarta bersholawat,negatif,1,0,okezonenews
2024-09-20 04:50:52,sebelum,kayak dulu prabowo sampe mau jemput rijik lari waktu kabur,negatif,2,0,SeriDianawati
2024-09-20 04:56:03,sebelum,bulan jelang lantik jenderal jadi presiden republik indonesia baik bom bom analisis ledak early warning system bismillah manjada wajada,positif,2,1,IndraJPiliang
2024-09-20 04:57:15,sebelum,prabowo mungkin sekarang faham angka upil semut banding segala hina nista marwah hormat keluarga laku fufufafa jadi damping semestamengabariprabowo,negatif,499,197,abu_waras
2024-09-20 05:05:00,sebelum,kawat kirim jumlah portal pak hitung mundur jelang dday,positif,1,0,IndraJPiliang
2024-09-20 05:05:34,sebelum,the prakarta dukung rencana prabowo bentuk badan terima negara usul sejak tempobisnis,positif,3,0,tempodotco
2024-09-20 05:07:00,sebelum,satu mbanking nama beneran gibran pas antar gopay nama jadi slamet,positif,4,1,imbringinurmail
2024-09-20 05:08:16,sebelum,kapan bikin polling kalau prabowo bohong waktu psi beri award bohong ayo jgn nebeng copas media sutuhan mulyono,negatif,7,2,jemmy81485936
2024-09-20 05:18:26,sebelum,lebih baik anies jadi mendikbud baik didik amburadul sekarang bagaimana pak,negatif,10,0,Rizal1518640911
2024-09-20 05:18:36,sebelum,menteri tahan prabowo subianto laku kunjung kerja manila filipina rangka temu presiden filipina ferdinand romualdez marcos,positif,16,8,Kemhan_RI
2024-09-20 05:18:41,sebelum,menhan prabowo tiba villamor air base manila hari kamis pukul waktu tempat sambut upacara jajar hormat terima komandan instalasi udara komando kembang pangkal angkat udara filipina mgen pablo rustia,positif,2,2,Kemhan_RI
2024-09-20 05:18:45,sebelum,presiden ferdinand marcos agenda terima laku temu menhan prabowo jumat,positif,2,2,Kemhan_RI
2024-09-20 05:21:39,sebelum,walaupun milu kemarin aku pilih prabowo rasa yakin kalau prabowo jiwa nasiaonalismenya lebih besar bila banding jokowi,positif,2,0,yulyul_423
2024-09-20 05:24:43,sebelum,maju cara licik curang sama masuk jurang pikir bodoh semua,negatif,25,1,Ban95inyo
2024-09-20 05:30:50,sebelum,alhamdulillah justru harap smoga retak pecah keping aman prabowo cawe cawe mulyono genk jahat,negatif,7,0,dina_maria666
2024-09-20 05:37:37,sebelum,prabowo masalah eliminir samsul wapres beres,negatif,4,1,OmpungGuru
2024-09-20 05:38:21,sebelum,kmaren ngabalin ngumumin ayah gibran rajin puasa daud sekarang rel gib ngumumin gibran rajin tahajud sedekah ibadah kabar kabar indonesia bagus,netral,6,0,bang_ouz71
2024-09-20 05:39:47,sebelum,barusan cek malah gibran,negatif,270,2,ciperamanuk
2024-09-20 05:45:09,sebelum,buzzer bayar buat nutupi rugi trading fufufafa alias raka gnarly alias orang sama anak mulyono makin tutup makin buka kan pak masa mau hina terus,negatif,3,0,justr1mja
2024-09-20 05:45:59,sebelum,lurus sesuai ajar islam baik muja kubur mngkuktuskan nya doa allah titik,positif,2,0,BalimbingJ
2024-09-20 05:46:12,sebelum,target kapasitas pgeo terlalu kecil sekali ayo kebut proyek baru jauh lebih besar,negatif,2,0,Tio_Rud
2024-09-20 05:47:18,sebelum,kalau lantik alir listrik ikn putus siapa mau bayar listrik anggar makan siang anak sekolah tengah mati wujud liat jak,positif,7,0,PuangRahmang
2024-09-20 05:49:07,sebelum,ridwan kamil suswono dukung rawan jagat prabowo,positif,0,0,kompascom
2024-09-20 05:51:42,sebelum,cek pake topup bank nama beneran gibran woeee kaya aplikasi gopaynya pake nama samar biar kalau gofood dimintain tip,negatif,3,0,adrockyo
2024-09-20 05:53:49,sebelum,hingga tahun datang masyarakat sebut perintah sebut,negatif,27,5,emerson_yuntho
2024-09-20 06:07:32,sebelum,pak lantik selesai sengketa rempang,positif,5,0,_bangagoengDuA
2024-09-20 06:07:38,sebelum,jadi begini henti pikir bhw orang bicara fufufafa sedang usaha laku adu domba pikir tahun depan orang damping orang sungguh jahat berani nista apa curiga jadi,negatif,1299,427,abu_waras
2024-09-20 06:11:37,sebelum,sby temu prabowo kertanegara apa bahas,positif,2,1,kompascom
2024-09-20 06:12:09,sebelum,klarifikasi kaesang duga gratifikasi jet pribadi kpk ikut profil anak jokowi adik gibran adik ipar bobby nasution tempometro,negatif,1,3,tempodotco
2024-09-20 06:12:28,sebelum,akun fufufafa kaskus roysuryo ilc fufufafa lantik gibran batal tonton sekarang youtube ilc,negatif,29,10,ILCTalkshow
2024-09-20 06:12:41,sebelum,kalau jauhin orang kek haikal begini bahaya jilat susah ubah,negatif,4,0,_S_R_V_
2024-09-20 06:13:44,sebelum,aku bayangin negara pimpin orang jahat macam fufufafa,negatif,4,0,satriyotutuko
2024-09-20 06:15:15,sebelum,lihat fufufafa benci sekali pak prabowo abu,positif,5,0,Rizal1518640911
2024-09-20 06:17:47,sebelum,komentar ayi anak yatim janda pensiun lansia tolak rekayasa restrukturisasi tahun menang gugat hukum,negatif,9,1,machrilmachril1
2024-09-20 06:17:54,sebelum,aku nyoblos prabowo kalau ide makzul gibran anak mulyono aku dukung,positif,2,0,yussssaaa
2024-09-20 06:19:27,sebelum,buka amplop tutup calon menteri jenderal prabowo,positif,1,0,IndraJPiliang
2024-09-20 06:19:28,sebelum,benci politik beda benci personal benci politik kritisi prestasi bijak kerja benci personal serempet masalah fisik anak istri hormat keluarga,negatif,24,6,abu_waras
2024-09-20 06:20:09,sebelum,bacot bacot bilang karyawan kamu semua tolol nyari siapa balik akun fufufafa netizen gratis tunjuk bukti arah gibran dalih netizen salah umum siapa balik akun fufufafa ditungguin ditanyain baik baik sama teman teman medua malah bukti umum siapa balik akun fufufafa jangan salah bakal terus arah akun fufufafa arah gibran rangkai bukti temu,negatif,49,9,PakarINTELek
2024-09-20 06:20:56,sebelum,waris indah memang bentar negara kata prabowo ilang,negatif,2,0,SeriDianawati
2024-09-20 06:21:26,sebelum,siiiip lah bang tunggu tindak pak prabowo,negatif,2,0,EviDrajat
2024-09-20 06:22:00,sebelum,informasi sesat bukan kran ekspor sedimen bukan ekspor pasir laut sedimen lait pasir laut,negatif,4,3,SotoAyam1970
2024-09-20 06:25:20,sebelum,bang jelas banget gibran bela takut banget pernah tweet orang palestina gaza harap rudal email jelas nomor handphone jelas makan jangan aneh data privasi bocor,negatif,3,0,gatauahdark
2024-09-20 06:25:33,sebelum,halaah mayoritas mantan hina prabowo urat malu dituker bansos bos,negatif,1,0,budi_dhrc
2024-09-20 06:29:33,sebelum,surya paloh mau nasdem beri didik politik tak prioritas prabowo masuk kabinet,negatif,0,0,kompascom
2024-09-20 06:33:39,sebelum,mau bujuk abah batal bikin partai iming mau masuk kabinet prabowo padahal buat partai beliau bikin partai,positif,88,4,80R35
2024-09-20 06:33:47,sebelum,jokowi tinggal sampah ekonomi buat prabowo,negatif,5,0,geloraco
2024-09-20 06:36:11,sebelum,surya paloh tegas nasdem tak jadi prioritas jatah menteri kabinet prabowo gibran,negatif,4,0,KompasTV
2024-09-20 06:37:28,sebelum,viral gabut transfer gopay nomor ponsel akun fufufafa netizen malah temu nama gibran rakabuming,negatif,31,17,OposisiCerdas
2024-09-20 06:39:04,sebelum,jubir pks ungkap alas prabowo batal hadir rapimnas,negatif,0,0,VIVAcoid
2024-09-20 06:39:16,sebelum,malah kaget banyak kaget partai buruh dukung prabowo pas milu kemarin bilang prabowo banyak baca buku pintar einstein kan said iqbal that hack partai buruh pasca milu lebih aligned sama prabowo walaupun bukan kim plus kamu kira kemarin partai buruh partai gelora nekat ajuin kait parlimentary thresehold kalau backing nudge,positif,403,52,tilehopper
2024-09-20 06:39:33,sebelum,top sby sambang rumah prabowo hingga olah tkp brandoville studio,positif,1,0,IDNTimes
2024-09-20 06:41:00,sebelum,perintah prabowo tanggung rupiah jeblok hingga utang limpah,negatif,2,2,geloraco
2024-09-20 06:41:22,sebelum,jokowi mania gibran mania kumpul orang sakit jiwa,negatif,2,0,Kop15achet
2024-09-20 06:42:36,sebelum,kalau kata buzzer kan pak prabowo maaf siap rangkul peluk mas gibran kalau memang fufufafa punya mgkn tugas nnti banyak dicuekin pak prab lebih milih diskusi sama bapak,negatif,135,0,yesmar_banu
2024-09-20 06:42:58,sebelum,milik akun fufufafa panen transfer ngaku gibran mudah bikin akun gopay awal aku beneran curiga fufufafa gibran makin kentara jadi yakin bukan gibran,positif,45,2,AnnaMcLight
2024-09-20 06:45:14,sebelum,bajer sejati sll puji biarpun bukti rekam jejak ngurus food estate gagal jadi ngeri ngurua uang negara sangat besar ngurus makan panitia olah raga amburadul aplg ngurus makan anak sekolah satu negara,negatif,4,0,Adhi_Beka2
2024-09-20 06:45:34,sebelum,ketua badan anggar banggar dpr said abdullah minta menteri uang sri mulyani indrawati tetap perintah presiden wakil presiden pilih prabowo subianto gibran rakabuming minta ketua banggar jadi menteri perintah prabowo begini reaksi sri mulyani,netral,1,0,VIVAcoid
2024-09-20 06:47:19,sebelum,nya kek nama bini nya temenku nyoba bneran gibran,netral,7,0,mitzumore
2024-09-20 06:50:00,sebelum,viral fufufafa gibran gelagap tanya najwa shihab soal akun medsos lawas,negatif,20,9,democrazymedia
2024-09-20 06:53:28,sebelum,bukan dendam ungkap benar akun fufufafa perkara pak prabowo mau maaf urus pribadi beliau,negatif,14,1,PersetaAdi
2024-09-20 06:53:45,sebelum,kamu dewasa kamu rasa banyak ungkap kamu pilih beri tahu siapa khalil gibran celahawan,negatif,294,67,_SangPengembara
2024-09-20 06:54:51,sebelum,pak bila rakyat mau sejahtera hukum mati koruptor lolos ampas asset sih istana koruptor sih sih polisi jaksa hakim lapas birokrasi pungli koruptor netral usut harta anak jokowi,negatif,3,0,_Haris_Srg
2024-09-20 06:55:55,sebelum,ngelesnya nama gibran rakabuming bukan cuma dunia lho,negatif,93,0,XBA2454
2024-09-20 06:56:41,sebelum,ketua umum partai nasdem surya paloh nyata partai minta prioritas tunjuk menteri kabinet datang presiden pilih prabowo subianto suryapaloh nasdem prabowosubianto,negatif,1,0,kompascom
2024-09-20 07:00:01,sebelum,klaim persen benar susun kabinet prabowo bocor kader muhammadiyah menteri didik,negatif,4,3,democrazymedia
2024-09-20 07:01:09,sebelum,gelar temu tutup prabowo minta masuk sby lantik jadi presiden beritajogja jogja jogjaistimewa,positif,0,0,Harian_Jogja
2024-09-20 07:01:19,sebelum,pagi ndut jumat barokah takbisa mungkir fufufafaadalahgibran semua bukti arah sana tunggu tegas sikap tunjuk orang jenderal patriot bangsa pendekar sejati bukan landak bukan suka kroto biji utuh,negatif,1084,413,denismalhotra
2024-09-20 07:01:29,sebelum,belanja prabowo capai begini rincian,negatif,0,0,cnbcindonesia
2024-09-20 07:01:36,sebelum,dpr beri leluasa perintah prabowo realokasi anggar temponasional,positif,0,0,tempodotco
2024-09-20 07:01:36,sebelum,surya paloh aku beberapa kali bicara prabowo soal kabinet,negatif,0,0,kompascom
2024-09-20 07:01:56,sebelum,selamat pagi sahabat kompas apbn sah lalu proses transisi mulus dampak program prioritas stimulasi ekonomi tahun depan nilai minim baca lengkap sini ekonomi adadikompas,positif,2,3,hariankompas
2024-09-20 07:02:28,sebelum,dokter paling ngeri mata anak bukan soal juling mata milik tes jiwa tanggal oktober pak fixed benar benar jauh,negatif,29310,3633,DokterTifa
2024-09-20 07:03:07,sebelum,kisruh kadin panjang hidayat sebut imbas citra perintah prabowo tempobisnis,negatif,1,0,tempodotco
2024-09-20 07:03:12,sebelum,sinergi baik kadin kemenperin maju ekonomi industri erat lanjut capai positif perintah jokowi ruf amin sambut perintah baru prabowo gibran,positif,0,0,anindyabakrie
2024-09-20 07:03:12,sebelum,isu politik kini jokowi perintah mitigasi bocor data hingga sby dukung perintah prabowo beritasatu news berita,negatif,1,0,Beritasatu
2024-09-20 07:04:35,sebelum,rawan jagat prabowo deklarasi dukung ridwan kamil suswono,negatif,0,0,SINDOnews
2024-09-20 07:05:18,sebelum,misal memang tulis ngapain paka nama gibran nama legkap lebih baik pakai nama tom cruise tom lembong,positif,26,0,ida_aslina
2024-09-20 07:08:35,sebelum,revisi menteri negara tuju jadi prabowo tambah jumlah menteri,positif,9,7,OposisiCerdas
2024-09-20 07:08:36,sebelum,kabar oktober prabowo tetap kantor istana jakarta city fufufafa asing istana wowoland city kamprets,positif,215,44,Tan_Mar3M
2024-09-20 07:08:57,sebelum,nyinyir tetp kan wapres gibran bukan anies presiden,negatif,4,0,Tole_igoz
2024-09-20 07:10:00,sebelum,heboh edar duga info buzzer minta sebar isu tutup polemik fufufafa gibran anak jokowi,negatif,67,46,democrazymedia
2024-09-20 07:10:59,sebelum,masak anak orang kaya main game mod masak beli game store mampu fix fufufafa hekel kelas teri miskin kere jelas bukan gibran bisnis,negatif,2,0,KristonyHarahap
2024-09-20 07:11:17,sebelum,pagi ndut tunjuk kesatria sejati bela keluarga rendah segera agenda baku hantam fufufafa sabungelit,negatif,6,0,lilwuh
2024-09-20 07:13:04,sebelum,hukum tetap lanjut suka suka era prabowo damai hari lubis hukum politik mujahid ikhtisar niscaya oposisi andai prabowo lanjut lengkap klik,negatif,10,8,DamaiHariLubis
2024-09-20 07:15:10,sebelum,mudah jadi presiden prabowo,positif,17,0,cokiezss
2024-09-20 07:16:36,sebelum,banget orang ngotot cari salah kemenag menag apa mungkin faktor libat pkb susun kabinet prabowo,negatif,12,4,octajo__
2024-09-20 07:17:20,sebelum,validasi pgn orang orang tau kalau lakuin bener dlu laku gtu pas sama anak buah prabowo bagaimana tuh playing victimnya,negatif,31,0,miracleflowww
2024-09-20 07:20:42,sebelum,daur ulang sampah ekonomi prabowo butuh pulung unggul,negatif,7,6,OposisiCerdas
2024-09-20 07:22:06,sebelum,kamu kata bisnisman hari begini sibuk jilatin tainya gibran wkwkkw dasar sampah,negatif,2,0,travelerwizzard
2024-09-20 07:22:46,sebelum,wapres pilih level psikopat skizofrenia sma ragu tambah sas sus narkoboy bayang ganti pimpin odgj kek nero hitler,netral,627,76,JulieRhma
2024-09-20 07:24:46,sebelum,bukan salah pilih fufufafa salah mulyono mulyono pikir penting bangsa lebih besar pikir kekuasaanya turun anak mantu akhir bangsa wapres under rated bangsa jadi hilang hormat jadi,negatif,6,3,hamas191
2024-09-20 07:25:51,sebelum,marah kan hati luas lapang samudera nilai tantrum smpe akherat pdhl kritik atas kerja sbg tri gilir rendah harga diri keluarga bahkan wife kena diem bae coba liat bakal ambil tindak apa atas hina terima,negatif,4,0,risqyqiqee
2024-09-20 07:26:32,sebelum,usah tanda tangan prabowo minat nasib ikn sprti meikarta upacara nyewa bus puluh milyar bagaimana mindahin puluh juta asn tni polri keluarga mindahin puluh juta manusia mudah mindahin chanel pake remote,positif,2,0,2024Ab
2024-09-20 07:26:44,sebelum,serius sampe sekarang bedain gibran sama kaesang mirip banget jelek,negatif,17,2,discreet_sih
2024-09-20 07:26:45,sebelum,lepas baik buruk someone jago selalu menang periode periode baru mau lantik kali gaya nice milih sesuai hati tiap manusia sisi baik buruk sempurna jumatberkah,positif,2,1,bitCarli77
2024-09-20 07:27:21,sebelum,pilih dukung kalau jilat kan sakit jiwa,negatif,12,0,panjul_kimung
2024-09-20 07:28:35,sebelum,betul sekali bapak nebeng indonesia bubur fufufafa,negatif,10,1,MasboyK
2024-09-20 07:29:43,sebelum,bakal lebih banyak mana jumlah anggota kabinet prabowo main tim senior chelsea,negatif,2,0,ari_ap
2024-09-20 07:32:15,sebelum,gibran ketemu mulyono gibran ketemu kaesang gibran ketemu boby orang penting semua bang,negatif,3,0,ZulaikaSugiarto
2024-09-20 07:33:18,sebelum,perintah dpr resmi pakat apbn jadi modal awal perintah prabowo gibran apbn nila triliun ragu beri stimulus besar ekonomi nasional ekonomi adadikompas,positif,0,0,hariankompas
2024-09-20 07:33:29,sebelum,kemarin kertanegara presiden republik indonesia presiden pilih makan sama diskus diam prabowo jalan kertanegara nomor kebayoran jakarta selatan kamis foto prabowo,positif,3,2,DakotaGeorgy
2024-09-20 07:33:36,sebelum,korban duit benar,negatif,2,0,loketpaytren2
2024-09-20 07:33:43,sebelum,kurang lebih satu bulan prabowo lantik jadi presiden seluruh rakyat indonesia pandang pilih,positif,187,28,Heraloebss
2024-09-20 07:33:50,sebelum,hukum tetap lanjut suka suka era prabowo lewat news,positif,2,3,keuangannews_id
2024-09-20 07:34:33,sebelum,warga negara terima presiden hina keluarga nya sama bocil haram konstitusi prabowo tegak diri resmi presiden jgn mau atur jahat bangsa lalu marwah presiden jaga integritas tinggi,positif,53,0,Aisyana_dia
2024-09-20 07:35:08,sebelum,berat loh saksi allah bicara detik jadi oposisi prabowo jadi presiden majlis jamah mau jadi dakwah omong nyata sangat beda sekarang malah jadi tukang cebok keluarga jokowi sekaligus prabowo,negatif,3,0,MbemLover
2024-09-20 07:35:55,sebelum,uuite terap akun fufu fafa pak oke kalau manut,positif,3172,79,CokiePramuka
2024-09-20 07:37:54,sebelum,lihat detik pertama langsung bayang mata boneka choki ngeri,positif,5,0,che6_mak
2024-09-20 07:37:56,sebelum,gerak gerik gibran hadir acara televisi sorot warganet lihat pernah baca buku pan ngaku hobbynya main tamiya,positif,11,4,Kopipait__78
2024-09-20 07:40:00,sebelum,alamak fufufafa kini heboh akun formspring raka gnarly duga milik gibran temu penuh komentar mesum,positif,3509,1446,democrazymedia
2024-09-20 07:44:34,sebelum,pilkada jakarta rawan jagat prabowo sosialisasi progam ridwan kamil suswono,negatif,0,0,okezonenews
2024-09-20 07:44:59,sebelum,laku jokowi jakarta bukan ibu kota ikn resmi lalu prabowo lantik mana,positif,1234,381,alisyarief
2024-09-20 07:45:25,sebelum,moga indonesia jauh lebih baik pimpin pak prabowo,netral,4,0,tonggeret10
2024-09-20 07:48:03,sebelum,kalau kalah memang kadang jadi gila,negatif,1,0,Ndons_Back
2024-09-20 07:49:46,sebelum,senang sekali lihat pimpin kompak sehat selalu pak pak,positif,169,16,Fahrihamzah
2024-09-20 07:50:00,sebelum,bulan jelang lantik presiden pilih prabowo subianto dpr kesah ruu ubah atas menteri negara revisi sebut beri fleksibilitas presiden jumlah menteri polhuk adadikompas,positif,0,0,hariankompas
2024-09-20 07:50:48,sebelum,kini heboh fufufafa gibran gelagap tanya najwa shihab soal akun medsos lawas,negatif,141,74,OposisiCerdas
2024-09-20 07:51:01,sebelum,sah presiden pilih prabowo subianto kini izin undang undang bebas jumlah pos menteri kabinet perintah baru berapa banyak tak batas maksimal alias unlimited pasal kamis september dpr kesah rancang undang undang ubah atas undang undang nomor tahun menteri negara ruu menteri negara jadi undang undang rapat paripurna gedung dpr senayan jakarta wakil ketua badan legislasi baleg dpr achmad baidowi alias awiek sebut enam ubah pakat ruu menteri negara bahkan salah satu krusial laku ubah ruu akomodasi bentuk jumlah menteri sesuai butuh presiden batas menteri undang undang ubah siti aisah nurhalida musthafa prmn lengkap prabowo kementeriangemuk,positif,0,0,pikiran_rakyat
2024-09-20 07:51:11,sebelum,keppres pindah ikn piring kotor pesta groundbreakingnya nungguin sang tukang cuci piring prabowo lantik dulu,negatif,7,0,mandaro_alam
2024-09-20 07:51:49,sebelum,dosaa appahh rakyat indonesia iniihh hingga allah adzab kirim bocil narkoboy jadi cawapres ampun allah,positif,4,0,BinyoHexa
2024-09-20 07:52:52,sebelum,hari indonesia pimpin presiden pilih yakin masa depan anak indonesia lebih baik bawah pimpin beliau kelak impi anak indonesia segera wujud progam lindung anak mulai penuh gizi sarana didik lindung hukum anak,positif,110,29,are_inismyname
2024-09-20 07:58:59,sebelum,mata turun hati,negatif,76,0,pikpikripik
2024-09-20 07:59:07,sebelum,mark robinson gibran rakabuming raja bokep suka bikin komentar jijik online,negatif,18,2,tilehopper
2024-09-20 08:01:26,sebelum,beneran akun fufufafa atas nama gibran,negatif,3,1,BuleEmbe
2024-09-20 08:03:31,sebelum,menteri ekonomi apa pilih prabowo,negatif,11,1,CNNIndonesia
