no,tanggal,teks_asli,label_lexicon,skor_lexicon,label_manual_1,label_manual_2,label_manual_3
17,2024-10-02 08:23:47,Pertemuan Prabowo dan Puan dalam dua agenda kenegaraan yang digelar dalam sehari tersebut dibalut dengan momen keakraban. Keduanya berbincang akrab. https://t.co/4HcjPXwoB6,positif,12.0,,,
18,2024-10-05 08:54:24,@DokterTifa @prabowo Photo bercerita sejuta makna,positif,5.0,,,
19,2024-09-24 07:56:25,"Prabowo apa punya nyali sama fufufafa ?
Mungkin dia masih ada diketiak Jokowi ????",positif,3.0,,,
20,2024-09-27 21:02:43,"Puan di Isukan Gantikan Gibran Menjadi Wapres, Gara-gara Kasus Fufufafa Gibran Yang Viral https://t.co/vPqb1452Aj lewat @Keuangan News",negatif,-13.0,,,
21,2024-10-22 23:42:26,"@__AnakKolong @kemendespdtt @prabowo Si yandri ini lebih biadab dari SYL, @KPK_RI dan @KejaksaanRI harus segera tangkap yandri. Kalau di negara maju, attempt (percobaan) sudah termasuk tindak pidana.

Katanya mau Indonesia emas tapi yg kayak gini masih dibiarkan&dimaaflan, memalukan sekali kelakuan pejabat indon 👎",negatif,-16.0,,,
22,2024-09-25 17:13:36,PDI-P Minta Prabowo Tak Gonta-ganti Menteri di Tengah Jalan https://t.co/g3ZvRt6Jco,positif,1.0,,,
23,2024-10-19 15:26:36,"26 Tempat Parkir Disiapkan untuk Pesta Rakyat Pelantikan Prabowo-Gibran, Cek di Sini! https://t.co/zEGUWRiB4a #beritajogja #jogja #jogjaistimewa https://t.co/XKsWqkRNuN",positif,2.0,,,
24,2024-11-09 23:17:51,"@ch_chotimah2 @prabowo prabowo bukan sepenuhnya presiden warga jateng, tdk adil pilih kasih.",netral,0.0,,,
25,2024-11-08 17:50:07,"@YoyokSub0302 @OgahGila @Sentjoko @prabowo Bisa mikir karena sekolah di Eropa pemimpinnya skrg. Makanya lbh terbuka skrg.coba mikirnya orientasi abad ke 7 terus, yah kayak Afganistan dan yaman.",positif,3.0,,,
26,2024-10-26 10:45:09,"PDI-P Akhirnya Hormati Putusan PTUN soal Gibran, meski Temukan Kejanggalan... https://t.co/HsLJ76URJn https://t.co/dsCA0dFVC3",negatif,-7.0,,,
27,2024-10-29 07:01:31,@msaid_didu Sebelumnya raja Juli ini termasuk di antara pembenci Prabowo. Sulit diharapkan loyalitasnya,negatif,-4.0,,,
28,2024-10-22 18:54:41,"@d_i_m_a_s_a_p @nayotherside__ @indienas Mas udah saya bilang dari dulu tu kucing udah ada dan udah di omongin, masalah kamu dengernya baru akhir"" ini, kalo untuk saya udah gak kaget, sebelum nyapres tu kucing sering di gendong pak Prabowo, cuman kamu lihat nya baru akhir ini, Vidio lama baru viral di kamu",negatif,-3.0,,,
29,2024-10-19 17:06:42,"Jumlah tamu kenegaraan yang akan hadir dalam acara pelantikan Prabowo Subianto-Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden RI, yakni sekitar 33 negara. Hal itu dikatakan Ketua MPR RI Ahmad Muzani kepada wartawan di Kompleks Parlemen, Jakarta, Sabtu (19/10) siang.

Muzani menjelaskan, 33 negara tersebut meliputi negara sahabat, seperti negara di kawasan maupun mitra ASEAN.

""Tentu saja ini sebuah jumlah yang sangat besar, membanggakan, dan ini sebuah penghormatan yang amat besar bagi kita sebagai bangsa,"" kata Muzani.

Simak berita selengkapnya di https://t.co/loloP0Ykc3 

#HardNews_Politik #NewsOne #CariBeritaditvOne #MPRRI #MPR #PelantikanPresiden #PemerintahanPrabowoGibran #NO01",negatif,-6.0,,,
30,2024-10-19 15:42:06,"Prabowo Pilih Menteri dari Berbagai Kalangan, Ini Kata Pakar Komunikasi Politik dan Ma'ruf Amin https://t.co/FBlPLgS7UA",negatif,-7.0,,,
31,2024-10-27 21:41:47,"...Budiman Sudjatmiko adalah contoh sempurna tentang kemunafikan yg menjijikkan.

Penjual isu HAM mayat kawan2'y yg belum ketemu kemudian bertransformasi jadi halusinator bukit Algoritma.

Harus'y minta jabatan ke Prabowo tuh terkait penyelesaian bukit Algoritma... (``,)",negatif,-10.0,,,
32,2024-11-02 12:00:56,"@tvOneNews @KejaksaanRI  semoga jangan asal tetapkan tersangka  pdahal banyak tersangka lain  yang usdah terbukti, imbasnya kepada kepemimpinan @prabowo https://t.co/HU8KnPEoNG",negatif,-6.0,,,
33,2024-10-24 11:11:47,@Tan_Mar3M @prabowo Klo kerja di swasta udh kena pecat fatal ini,negatif,-12.0,,,
34,2024-10-17 13:33:00,"@PngAdilnR4kyt Kebalik, kalian yg akan dipenjara dimasa pemerintahan Prabowo Gibran",negatif,-7.0,,,
35,2024-10-21 07:05:30,@rr__ffxiv @BudiBukanIntel Terlalu berharap ke Prabowo aja udh aneh,negatif,-3.0,,,
36,2024-09-26 21:52:59,@BANGSAygSUJUD @prabowo @are_inismyname @florieliciouss @Kevanlie88 @Ndons_Back @99propaganda @mas_veel @Ber_uang08 @genx36545403 @yusufagro @gtobing2903 Halah telek dia biang keroknya suka adu domba kok SOK BERSIH,negatif,-12.0,,,
37,2024-10-22 09:12:50,"@neVerAl0nely pak @prabowo ini jg bagian dari masalah yg slma 10 tahun terakhir ini sering terjadi, tolong jajaran kepolisian ditertibkan, sptinya pak @ListyoSigitP tidak mampu menertibkan aparatnya untuk menjadi PELAYAN dan PELINDUNG masyarakat",netral,0.0,,,
38,2024-10-25 04:18:39,"@guloiyarman1 @_pln_id @plnsumut_ @prabowo @gibran_tweet @erickthohir @guloiyarman1           Hi Kak Iyarman, Mhn maaf atas gangguannya. Padam di Wilayah tsb akibat adanya gangguan jaringan dan saat ini masih penanganan. Mohon berkenan menunggu perbaikannya.  Agar semua makin mudah,  ayo download aplikasi New PLN Mobile. Tks -Lermin",negatif,-9.0,,,
39,2024-10-20 11:31:42,Bismillah. Terlepas dari segala kritik dan pendapat saya selama ini. Semoga pak @prabowo amanah menjalankan tugas dan fungsi sebagai Presiden Republik ini. Saya tetap akan cerewet seperti waktu di ruang tunggu TVRI kalau ga setuju ya pak. Cuma ga bisa langsung lagi aja.. 😁,negatif,-7.0,,,
40,2024-10-17 19:35:11,"Hashim: Prabowo Siap Bertemu Megawati, Tinggal Tunggu Kesepakatan https://t.co/eyJm2uCmzr",positif,4.0,,,
41,2024-10-20 01:07:07,"@prabowo @anwaribrahim anda menjijikkan pak,, menjadikan anak dajjal ini bagian dari dirimu, betapa hina para pencoblosmu dgn prilaku pikun dan buta darimu,
kalau bukan karena @SBYudhoyono tak sudi aku mencoblosmu https://t.co/BWCrAxeLjN",negatif,-22.0,,,
42,2024-10-20 18:36:56,Rektor dan Sivitas Akademika Universitas Bangka Belitung Mengucapkan Selamat atas pelantikan Prabowo Subianto sebagai presiden RI dan Gibran Rakabuming Raka sebagai wakil presiden RI periode 2024-2029. https://t.co/OlT2OKGu0N,positif,8.0,,,
43,2024-11-05 14:19:04,"Basuki Hadimuljono Dilantik Prabowo jadi Kepala Otorita IKN, Siap Tuntaskan Ibu Kota pada 2028
Selengkapnya: https://t.co/BtkDJ4zHQx
.
#BasukiHadimuljono #Basuki #PakBas #IKN #PRMN",positif,3.0,,,
44,2024-10-13 19:30:00,"Gibran yakin Prabowo telah memilih para calon menteri yang tepat, yang ahli maupun kompeten di bidangnya masing-masing. Gibran pun menyatakan loyalitasnya kepada Prabowo.⁣
⁣
>> https://t.co/geBta3qKxM

#detikcom #GibranRakabumingRaka #PrabowoSubianto #KabinetPrabowoSubianto https://t.co/o833W8Phjg",positif,3.0,,,
45,2024-10-07 19:06:30,"Gibran berpotensi gagal dilantik jadi Wapres RI, jika Pengadilan Tata Usaha Negara (PTUN) bikin kejutan lewat putusannya.

""NASIB Gibran Ditentukan 10 Oktober, Ada Potensi Batal Dilantik Jadi Wapres Kini Sering Tak Kelihatan""

https://t.co/X0Z9b4iZwK",positif,4.0,,,
46,2024-11-04 07:10:01,@prabowo @jokowi Salam hormat untuk Bpk Presiden Prabowo dan mantan Presiden Bpk Jokowidodo. Semoga kedua tokoh bangsa selalu dalam lindungan Tuhan YME serta selalu diberi kesehatan dan panjang umur. 🇮🇩🇮🇩🇮🇩👍🏼👍🏼👍🏼,positif,18.0,,,
47,2024-10-24 00:06:05,"Pigai anda sekarang BUKAN AKTIVIS lagi melainkan PEJABAT NEGARA, jadi kalian Wajib Belajar Memahami ETIKA, jangan Banyak Mulut apalagi didepan Media

Tolong jaga marwah pak Prabowo sebagai Presiden RI, belajar berorganisasi dan belajar bergaul dengan pejabat yang lain, obrolkan dan diskusikan bersama menteri kordinator dan menteri terkait

Belajar TATA KRAMA yah sebagai PEJABAT TINGGI NEGARA, jangan Gaya2 Aktivis dibawa-bawa didalam pemerintahan negara...",negatif,-29.0,,,
48,2024-11-11 09:54:07,"@DokterTifa @KRMTRoySuryo2 @prabowo Apakah Beliau diam saja karena khawatir jika melakukan sesuatu ke fufufafa, bapaknya yang terkenal sebagai orang paling sakti di negara besar ini akan marah dan akan menjatuhkan kekuasaan Beliau?",negatif,-7.0,,,
49,2024-09-30 12:03:13,Prabowo Targetkan Susunan Kabinet Rampung H-5 Pelantikan https://t.co/Ir63lDai0N #TempoNasional,positif,3.0,,,
50,2024-09-21 22:31:09,@_MbakSri_ Salah satu alasan memilih Prabowo karena Gibran wakilnya.. Paham..,negatif,-4.0,,,
51,2024-10-09 09:52:10,Prabowo Masuk Daftar Top 50 Tokoh Muslim Berpengaruh Dunia 2025 https://t.co/sFmjd9Bs39,positif,3.0,,,
52,2024-10-28 20:38:35,Istana Konfirmasi Prabowo Arahkan Menteri Pakai Mobil Dinas Maung https://t.co/TV1YytHktd,positif,1.0,,,
53,2024-10-17 19:48:03,"Jadi Kandidat Menteri Kabinet Prabowo-Gibran, Ini Rekam Jejak Budi Santoso https://t.co/sWsPzcVdkq #KLYNews",negatif,-5.0,,,
54,2024-11-12 09:57:54,"""Sekarang semua produk (ikan kaleng) kami list, kami akan ada rapat koordinasi, kami sampaikan, semua sedang berjalan. Dalam waktu dekat kami akan usulkan ke Badan Gizi,"" kata Budi.

#ikankaleng #makanbergizigratis #badangizi
https://t.co/AOhMj3FJnE",negatif,-12.0,,,
55,2024-10-09 07:01:15,Gerindra Ungkap Hari dan Tanggal Prabowo Umumkan Nama-nama Menteri https://t.co/ObTR6fInfO #beritajogja #jogja #jogjaistimewa https://t.co/kVBbXPBKyO,negatif,-3.0,,,
56,2024-11-05 08:14:09,"Mari ramaikan twibbonnya,jgn lupa tag mimin yaa 
#bayartukindosenkemendiktisaintek
#tagihjanjikemendiktisaintek
 @prabowo @gibran_tweet
@Kemdiktisaintek @KemenkeuRI  @kempanrb
@KemnakerRI 
@KOMISIXDPRRI
@DPR_RI @Gerindra

https://t.co/wh20QJgILj",negatif,-4.0,,,
57,2024-11-06 19:49:22,Pemerintahan Presiden Prabowo Subianto menyiapkan Badan Pengelola (BP) Investasi Daya Anagata Nusantara (Danantara). Bagaimana nasib INA https://t.co/njkiMyIG0m,positif,1.0,,,
58,2024-11-09 20:01:00,"Lawatan Kenegaraan Perdana, Presiden Prabowo Disambut Upacara Kenegaraan oleh Xi Jinping https://t.co/aR5KSYkHQc",positif,6.0,,,
59,2024-10-24 14:06:36,"3 Perwira TNI Jadi Ajudan Prabowo, Salah Satunya Peraih Gelar Magister dari Air University AS https://t.co/YRWlW0zFca",positif,8.0,,,
60,2024-10-24 22:16:35,Prabowo Naik Mobil Kepresidenan MV3 Garuda Disambut Antusias Warga Magelang https://t.co/REqYlfeqVb,positif,7.0,,,
61,2024-10-28 17:23:58,"sekali2 baca ini Pak Presiden @prabowo 

cc @Dahnilanzar",positif,4.0,,,
62,2024-10-20 11:56:23,"@hasyimmah Capres pilihanku kalah,tp tidak apa² krn itu sebuah kontestasi.
Selamat atas dilantiknya Bpk Prabowo Subiyanto sbg Presiden RI dan Bpk Gibran Rakabuming Raka sbg Wakil Preiden RI.
Semoga Jujur Amanah ADIL&mampu menjadi Pemimpin bagi SELURUH RAKYAT RI.
AMIN.
Ngeten pak?😊",positif,4.0,,,
63,2024-10-22 16:12:29,"yg sangat diharapkan dalam hal ini adalah keberanian pak Prabowo untuk bertindak, 
jika pak Prabowo masih saja tidak percaya diri untuk mandiri dan tidak bergantung kepada jalur jokowi,
apalagi tetap selalu ingin memuaskan semua pihak, 

harapan untuk membendung tingkah ploah BGS cs jelas tipis sekali",negatif,-20.0,,,
64,2024-10-14 20:29:09,Airlangga mengaku mendapatkan tugas dari Prabowo sesuai dengan bidang yang selama ini dia geluti. #bisnisupdate #update #bisnis #text https://t.co/SJPkScD5Yg,positif,2.0,,,
65,2024-10-20 15:18:41,"Senator Federasi Rusia dari Republik Dagestan Ilyas Umakhanov menyebut Prabowo Subianto sebagai presiden yang hebat menanggapi upacara pelantikan Presiden dan Wakil Presiden RI periode 2024-2029. 
https://t.co/wdV5CCr3oV",positif,18.0,,,
66,2024-09-23 19:07:33,@Dyanasthasia Kalo disamaan sama gibran ga rela gua asli,positif,9.0,,,
67,2024-10-06 05:07:35,[POPULER NASIONAL] Romo Benny Susetyo Wafat | Prabowo-Gibran Hadiri HUT TNI https://t.co/WKOd0PDSHy https://t.co/q91FePwaXG,netral,0.0,,,
68,2024-09-29 17:21:04,"Rumor Budi Gunawan dan Azwar Anas Masuk Kabinet Prabowo, PDIP Merapat ke Pemerintahan? https://t.co/yh05bXCDR4",negatif,-13.0,,,
69,2024-10-15 14:00:55,"Pramono Anung Dipanggil Prabowo, Gabung Kabinet?
https://t.co/4eDfSqWH2W",negatif,-9.0,,,
70,2024-10-12 05:02:30,"Riza Patria: Belum Ada Satu Pun Relawan Jokowi atau Prabowo yang Dukung Selain Ridwan Kamil
https://t.co/r2QDGc9u8X",positif,4.0,,,
71,2024-10-26 14:42:00,"@cumaXsatu @detikcom @prabowo Orientasi pendidikan negara ini selangkah di depan...dan terdepan di antara semua negara ...karena fokus mikirin surga bukan dunia lagi. Melarat dan bego² di dunia ngga apa² pan sementara, asal surga di tangan..take beer.....",negatif,-13.0,,,
72,2024-11-10 09:54:27,"@opposite6892 Paman usman yg meloloskan gibran, paman usman di angkat oleh bapaknya gibran, skrg jd iparnya dan om nya? 
Apa kaga ruwet tuh??",negatif,-9.0,,,
73,2024-10-24 09:28:06,@kompascom Uang nasabah jiwasraya jangan dirampas oleh perusahaan dengan alasan penyehatan perusahaan. Ini membuat malu bangsa dan negara. Indonesia negara hukum bukan negara kekuasaan . Menang menggugat putusan Inkracht tidak berlaku. @prabowo @OJK_Indonesia @KemenBUMN,negatif,-10.0,,,
74,2024-11-09 12:22:29,"Lanjutkan Pembangunan IKN,
Prabowo Bakal Libatkan Jokowi,
Untuk Minta Petunjuk Dan Arahan
.
https://t.co/djLb0tqwml
.. https://t.co/Fj0A9ylvaJ",negatif,-7.0,,,
75,2024-10-29 11:19:00,"Menteri Pertanian (Mentan) Andi Amran Sulaiman mengungkapkan, Presiden Prabowo Subianto menginginkan percepatan program cetak sawah.

< #Mentan #PrabowoSubianto #ProgramCetakSawah

https://t.co/ghyYEW38LN",positif,3.0,,,
76,2024-10-15 14:30:12,"Calon Wamen-Kepala Badan Menghadap Prabowo, Ada Viva Yoga-Anis Matta https://t.co/lEeosjYu6Y",negatif,-2.0,,,
77,2024-10-20 21:15:25,"Secercah harapan kepada rakyat Indonesia dari presiden terpilih Prabowo Subianto yang akan bekerja untuk rakyat, semoga beliau diberikan kekuatan untuk mewujudkan masyarakat yang sejahtera adil dan makmur",positif,7.0,,,
78,2024-10-20 22:31:13,"jujur pesimis liat kondisi politik, tapi pidato prabowo bikin optimis tentang masa depan bangsa, politik sebanyak itu ya muka nya",positif,2.0,,,
79,2024-10-29 16:49:12,@JamalBoegis Turunkan Gibran.. ga pantas mengurus negara skala Indonesia,negatif,-6.0,,,
80,2024-10-23 23:17:09,"Prabowo Gelar Sidang Kabinet, Wapres Cek Makan Bergizi, Pembekalan Akmil Magelang [TOP3NEWS] https://t.co/pMfHzbG5y8",positif,1.0,,,
81,2024-10-28 07:13:51,"Otak mesum 
Sekurangajarnya betul-betul sudah keliwat batas.

Pak @prabowo
Jangan pernah khawatir. Jika Bapak mau bersikap tegas terhadap manusia lancang ini

Rakyat di belakang Bapak.
Tak ada ampun dan tak ada maaf. Karena nanti rakyat akan anggap Bapak tidak tegas, tidak berani, insecure, jika perilaku kurang ajar dan bejat dibiarkan tanpa tindakan.",negatif,-28.0,,,
82,2024-10-29 10:00:25,"@vanc1Bozz @aksialfatih @kaesangp @jokowi @prabowo Kalau biaya ya g sudah dipakai IKN diberikan modal 7 juta pengangguran Indonesia, maka masing-masing kebagian @ 50juta untuk modal usaha.",negatif,-6.0,,,
83,2024-10-16 20:18:45,"@NKRIndonesia79 @chicicicicicici @DokterTifa @prabowo Lagian dlm politik itu bukan masalah khianat ga khianat tapi pragmatis, kalo sama2 pragmatis apa ga sebaiknya pilih yg kompeten seperti Anies",negatif,-17.0,,,
84,2024-11-12 10:18:11,@koorbanghosting @jjoonra @Adityatris @itsquaileggs ya itu makanya kga dipake sir bang. karena posisi mereka setara. pahami konteksnya. si kamalapun kga nyebut trump pake sir begitupun si trump kga manggil pak prabowo pake sir. tu dua org udh contoh native speaker + org amrik langsung,positif,2.0,,,
85,2024-10-23 20:09:36,Jubir Bilang Traktir Makan Siang Gratis Bukti Kesiapan RK-Suswono Kolaborasi dengan Prabowo-Gibran https://t.co/FZJN86DfXu,positif,1.0,,,
86,2024-10-31 09:47:46,@msaid_didu Udah terburu Nafas mau gantikan Prabowo si Fufufafa 😀 🐒👎,positif,2.0,,,
87,2024-11-03 07:43:05,"@JaKarta73869289 @PartaiSocmed @meutya_hafid @ListyoSigitP @prabowo Susi dr jalur non partai kalo partai kita ga tahu bagaimana. Lagian kita lihatnya harus 10th kedepan ini beneran, cuman image atau rotasi pemain.",negatif,-1.0,,,
88,2024-10-31 05:44:52,"@DokterTifa @prabowo dokter dokter, mending share edukasi tentang kesehatan aj dibanding politik gini, lu malah jdi provokator, ini beneran dokter apa ngga sihh?? di bayar brp buat jdi provokator bgini dok?",positif,1.0,,,
89,2024-10-19 14:57:16,"@MayaA62580468 Karena mereka telah memberi hutang jasa kepada prabowo, maka sekarang waktunya prabowo harus membayar hutang jasa pada mereka dgn jabatan mentri/wakil mentri",negatif,-7.0,,,
90,2024-09-23 15:00:45,"@xathrya @prabowo selain itu, memang harus dari masyarakat sih yang ""cancelling"" atau ""bullying"" sentimen kaya gini sebagai unacceptable buat kehidupan bertetangga apalagi bernegara. semakin orang2 yang berperilaku gini dikucilkan sebagai low-status, semakin baik.",positif,5.0,,,
91,2024-11-01 16:20:01,"Pagi tadi menemui Jaksa Agung terkait arahan Presiden @prabowo untuk menjaga hutan Indonesia. Seperti kita ketahui masih banyak aktivitas bisnis ilegal di dalam kawasan hutan.

Bersama Kejaksaan Agung, Kementerian Kehutanan akan menjalin kerjasama erat dalam penegakan hukum di bidang kehutanan 

Pusat perhatian Presiden Prabowo saat ini adalah mengembalikan Pasal 33 UUD 1945 ayat 3 bahwa Bumi dan air dan kekayaan alam yang terkandung didalamnya dikuasai oleh negara dan dipergunakan untuk sebesar-besar kemakmuran rakyat. Saya sebagai Menteri Kehutanan siap mendukung",positif,30.0,,,
92,2024-10-20 21:51:37,"Presiden Prabowo Subianto mengumumkan Zulkifli Hasan sebagai Menteri Koordinator (Menko) bidang Pangan dalam kabinetnya.

https://t.co/cl6DjxZZIx

#IDNTimesBusiness #GenZMemilih",positif,2.0,,,
93,2024-10-20 10:15:11,Sorak Sorai saat Kamera Menyorot Titiek hingga Putra-Putri Jokowi. #focus #pelantikanpresiden #news #text https://t.co/yvR2vucPWC,negatif,-3.0,,,
94,2024-11-08 14:59:13,"Di sinilah peran @gsn_id_official untuk bantu wujudkan negara Indonesia yang disegani di dunia internasional.
https://t.co/PbWyP8coUn https://t.co/ZKOsnYVkhn",netral,0.0,,,
95,2024-10-06 22:46:04,@wawkoe @JhonSitorus_18 Udah lah bang... jelas itu punya Gibran. Kalo itu akun punya org biasa... yg punya akun sdh di sate sama aparat dr kemarin2.. logika nya gitu aja deh..,positif,4.0,,,
96,2024-10-21 12:40:33,"Mayor Teddy Tetap Jadi Seskab Prabowo, Jabatan Tak Setingkat Menteri https://t.co/mtqDf6KMGo",netral,0.0,,,
97,2024-11-11 00:37:50,"Menteri P2MI /Kepala @bp2mi_ri, @Kadir_Karding di dampingi Wamen P2MI /Waka #BP2MI, Dzulfikar Ahmad, menghadiri Upacara Tabur Bunga dlm rangka memperingati Hari Pahlawan di Taman Makam Pahlawan Kalibata, Minggu (10/11/2024)

@prabowo @gibran_tweet 
@KemensetnegRI @setkabgoid https://t.co/Ay86I8aUD8",netral,0.0,,,
98,2024-11-01 11:08:09,@kangmirdja @Gerindra @prabowo Harusnya bisa ya masalah hukum beginian bisalah presiden mengeluarkan hak diskresinya,negatif,-5.0,,,
99,2024-10-20 11:24:49,Prabowo : Jangan Jadi Pemimpin yang suka caci-maki (Menyindir Fufufafa) #fufufafa,negatif,-15.0,,,
100,2024-10-09 10:07:07,Prabowo Raih Top 18 dari 500 Tokoh Muslim Berpengaruh Dunia 2025 https://t.co/TPXlVvwvm4,positif,10.0,,,
